c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
82.357,0.071,82.39699750316143,35748.0,0.1789939997764826,0.348,0.064,0.155792,146.836,4.0,1.0,85.27499960653483,82.452,85.255,4.0,0.007666,0.012,-0.025999999329447746,0.004041,Normal
15.846888828992844,0.08400014014542102,15.807,35850.0,0.305323,0.724,0.095,0.362577,126.881,4.0,1.0,18.778,15.904,18.778,4.0,0.010333,0.018,-0.02599998815357685,0.007095,Normal
5.787999876618385,0.08700000000109713,5.768,36232.0,0.147995,0.274,0.079,0.109284,63.063,4.0,1.0,31.769,5.859,31.769,4.0,0.008333,0.012,-0.024999963007867335,0.003512,Normal
60.247,0.072,60.247,36032.0,0.15866200141561032,0.24,0.066,0.090473,101.852,4.0,1.0,61.958,60.357,61.958,4.0,0.014333,0.028,0.006,-0.018069999329447747,Normal
0.682,0.103,0.682,36434.01946348883,0.110996,0.149,0.091,0.032924,6.258,4.0,1.0,2.432,0.773,2.432,4.0,0.008666,0.01,0.007,-0.02847160258603096,Normal
71.097,0.131,71.097,36132.0,0.142995,0.19499990455806254,0.123,0.028,86.713,4.0,1.0,73.434,71.228,73.434,4.0,0.009666,0.011,0.008,-0.028471963007867335,Normal
101.044,0.121,101.044,35660.0,0.11133,0.134,0.09,0.02203,156.204,4.0,1.0,111.637,101.134,111.637,4.0,0.009333,0.031999943673610684,0.005,-0.006213971836805344,Normal
10.779,0.148,10.779,36332.0,0.145328,0.209,0.095,0.058158,44.345,4.0,1.0,13.249,10.874,13.249,4.0,0.009,0.025999978356063366,0.005,-0.013916956712126732,Normal
30.133,0.095,30.133,36372.0,0.453985,1.15,0.087,0.603053,38.209,4.0,1.0,31.959,30.258,31.959,4.0,0.009666,0.012,-0.020422839008271694,0.002082,Normal
0.717,0.099,0.717,36394.0,0.113996,0.179,0.075,0.02666600346451998,24.812,4.0,1.0,2.975,0.792,2.975,4.0,0.01,0.041999997466802594,0.007,0.002646,Normal
1.425999989569187,0.134,1.4059999993294476,36472.0,0.111663,0.141,0.082,0.029501,6.765999999552966,4.0,1.0,3.263,1.458,3.263,4.0,0.006999000223517418,0.06199999910593033,0.014,0.004359,Normal
35.463,0.238,35.463,36324.0,0.166661,0.227,0.06099999858438969,0.076226,60.993,4.0,1.0,47.428,35.544,47.428,4.0,0.009,0.041000002123415466,0.008,0.001732,Normal
41.364,0.092,41.364,36102.0,0.236659,0.523,0.088,0.248033,113.99,4.0,1.0,47.211,41.463,47.211,4.0,0.013666,0.032,0.004,0.015885,Normal
75.795,0.139,75.795,36172.0,0.120329,0.147,0.087,0.020551278688967226,100.4995938795805,4.0,1.0,79.533,75.882,79.533,4.0,0.009666,0.012,-0.02299964449554682,0.002517,Normal
101.767,0.157,101.767,36162.0,0.120329,0.141,0.086,0.029939,104.176,4.0,1.0,103.723,101.853,103.723,4.0,-0.016333655671417716,0.018,0.007,-0.022563839008271695,Normal
20.917,0.138,20.917,36362.0,0.10733,0.119,0.087,0.017673,53.431,4.0,1.0,22.932,21.004,22.932,4.0,0.013,0.04899803051352501,0.007,0.006,Normal
115.564,0.06,115.564,36012.0,0.224326,0.448,0.054,0.18234200230967998,128.824,4.0,1.0,117.819,115.735,117.819,4.0,0.006666,0.009,-0.024999999329447745,-0.007917999776482582,Normal
4.901,0.101,4.901,35780.0,0.411653,1.031,0.093,0.536434,187.882,4.0,1.0,14.587,5.012,14.587,4.0,-0.019999999329447744,0.017,0.005,-0.013754999552965164,Normal
15.562999993965029,0.112,15.543,36284.0,1.2649589881535768,3.479,0.102,1.943392,97.172,4.0,1.0,17.911,15.617018469244242,17.911,4.0,0.008666,0.04999999910593033,0.007,0.001528,Normal
31.068,0.132,31.068,36252.0,5.234159,15.484,0.101,8.876476,103.33,4.0,1.0,32.711,31.169,32.711,4.0,0.012333,0.014,0.009,0.002887,Normal
91.852,0.107,91.87199999769032,35620.0,2.352588,6.906999990947544,0.086,3.91819,215.647,4.0,1.0,116.508,91.938,116.508,4.0,0.009,0.051999999105930325,0.004,0.004359,Normal
21.103,0.105,21.103,36408.0,3.30689,9.704,0.092,5.539989,68.173,4.0,1.029504667967558,33.548,21.228,33.548,4.0,1.5124678611963538e-08,0.013,0.005,-0.015640969750642775,Normal
82.237,0.283,82.237,35952.0,3.306556,9.458,0.192,5.327354,169.618,4.0,1.0,84.015,82.429,84.015,4.0,0.012,0.04599999932944775,-0.012999999552965165,0.004583,Normal
5.464,0.111,5.464,36496.0,0.248325,0.546,0.099,0.257787,51.25299930462241,4.0,1.0,12.42,5.563,12.42,4.0,0.012666,0.04699965008348227,0.01,-0.006213883361160756,Normal
51.267,0.09100000044703484,51.267,36280.0,1.028299,2.913,0.072,1.632229,112.038,4.0,1.0,53.655,51.339,53.655,4.0,0.009,0.011,0.007,-0.027999999329447745,Normal
0.903,0.123,0.903,36440.0,1.083297,3.061,0.077,1.712799,80.346,4.0,1.0233856511767954,3.637,0.98,3.637,4.0,-0.050946389868855475,0.011,0.005,0.003464,Normal
15.863,0.102,15.863,36538.0,1.780941,4.479,0.09,2.361433,57.582,4.0,1.0,33.494,16.637,33.494,4.0,0.010333,0.012,-0.0029998693913221358,-0.01711273878264427,Normal
113.06,0.105,113.06,36226.0,1.008633,2.862,0.07,1.605079,142.376,4.0,1.0099997920915484,120.102,113.13,120.102,4.0,0.007666,0.011,0.005,-0.016944975338578222,Normal
30.597,0.123,30.597,36054.0,0.21366,0.452,0.077,0.207143,176.38899842189252,4.0,1.0,35.422,30.674,35.422,4.0,0.008333,0.04099999932944774,0.005,0.003055,Normal
15.226,0.119,15.245998224452139,36560.0,0.281657,0.632,0.106,0.303398,59.759,4.0,1.0,53.765,15.858,53.765,4.0,0.007666,0.012,-0.025999655671417713,0.004041,Normal
61.52,0.128,61.52,36358.01000000071,0.21032699932944773,0.354,0.072,0.151929,122.368,4.0,1.0,63.364,61.592,63.364,4.0,0.010333,0.013,0.009,-0.017691001415610315,Normal
25.224,0.10400002466142177,25.224,36450.0,1.70361,3.024,0.109,1.446736014640391,83.837,4.0,1.0,50.692,27.202,50.692,4.0,-0.028333991655349732,0.024999997913837432,0.005,0.005774,Normal
114.037,0.121,114.0519568556808,36242.0,0.269658,0.596,0.103,0.282635,147.05,4.0,1.0,131.671,114.14,131.671,4.0,0.009,0.011,-0.02499963331967592,0.003464,Normal
121.776,0.153,121.776,35980.0,0.138995,0.188,0.07300000044703484,0.047571,201.182,4.0,1.0,123.385,121.869,123.385,4.0,0.010333,0.017,0.007,-0.02422600212341547,Normal
111.112,0.07,111.112,35720.0,0.128662,0.248,0.064,0.10346700000109714,254.274,4.0,1.0,119.824,111.16600004328788,119.824,4.0,0.016666,0.032,0.006,-0.016385963007867335,Normal
35.602,0.111,35.602,36528.0,0.104663,0.131,0.083,0.024338,90.385,4.0,1.0,61.544,35.685,61.544,4.0,0.009666,0.013,0.005,-0.015836580457806587,Normal
51.655,0.111,51.655,35892.0,0.118329,0.166,0.089,0.041645,226.691,4.0,1.0,57.917,51.744,57.917,4.0,0.007666,0.011,-0.006999885223805904,-0.01583677044761181,Normal
187.566,0.145,187.566,35872.0,0.118996,0.137,0.085,0.029462,231.79991137250698,4.0,1.0,227.508,187.651,227.508,4.0,1.1850148439428165e-07,0.01,0.01,-0.019999762997031212,Normal
190.014,0.111,190.014,35844.0,3.428886,10.097,0.085,5.774666,270.681,4.0,1.0,202.858,190.099,202.858,4.0,0.009333,0.03299770104885101,0.006,-0.006486850524425507,Normal
21.319,0.688,21.319,36588.0,6.490450972768128,18.652,0.124,10.544167,112.926,4.0,1.0,48.701,21.443,48.701,4.0,0.014333,0.022,-0.01499995857477188,0.008622,Normal
61.00799996930361,0.115,60.968,36294.0,7.198093,21.445999793991447,0.08399999929219484,12.295541,191.63,4.0,1.0299999937415123,67.87,61.04199999858439,67.87,4.0,-0.0489999986588955,0.016,0.007,0.004583,Normal
